date,hour,weekday,month,NH3,CO,O3,NO,NO2
01/01/14 02:00,2,4,1,2.19,277.42,29.94,0,18.86
01/01/14 03:00,3,4,1,2.19,267.84,38.91,0,12.79
01/01/14 04:00,4,4,1,1.87,253.23,43.6,0,10.92
01/01/14 09:00,9,4,1,1.25,195.09,51.85,0,7.54
01/01/14 10:00,10,4,1,2.19,207.79,50.35,0,9.12
01/01/14 11:00,11,4,1,2.5,200.03,51.6,0,9.26
01/01/14 12:00,12,4,1,2.76,192.07,54.89,0,8.06
01/01/14 13:00,13,4,1,2.81,189.24,57.36,0,6.86
01/01/14 14:00,14,4,1,3.13,187.43,58.8,0,7.36
01/01/14 15:00,15,4,1,3.13,192.87,59.32,0,6.4
01/01/14 16:00,16,4,1,3.13,196.6,59.98,0,6.67
01/01/14 17:00,17,4,1,3.13,190.65,57.66,0,8.4
01/01/14 18:00,18,4,1,3.13,182.69,60.98,0,7.4
01/01/14 19:00,19,4,1,3.13,181.48,59.51,0,7.32
01/01/14 20:00,20,4,1,2.81,185.92,57.33,0,6.83
01/01/14 21:00,21,4,1,2.81,189.75,56.95,0,6.22
01/01/14 22:00,22,4,1,2.81,188.64,57.04,0,5.5
01/01/14 23:00,23,4,1,2.81,185.62,56.96,0,5.02
02/01/14 00:00,0,5,1,2.81,189.98,55.55,0,4.67
02/01/14 03:00,3,5,1,2.5,175.84,52.76,0,5.36
02/01/14 04:00,4,5,1,2.5,175.74,51.36,0,5.02
02/01/14 05:00,5,5,1,2.81,171.11,50.63,0,5.15
02/01/14 06:00,6,5,1,2.81,176.65,53.13,0,4.58
02/01/14 07:00,7,5,1,2.81,159.52,51.42,0,6
02/01/14 08:00,8,5,1,2.81,157.7,48.28,0,8.58
02/01/14 09:00,9,5,1,2.81,163.14,43.33,0,13.38
02/01/14 10:00,10,5,1,2.81,177.66,40.64,0,17
02/01/14 11:00,11,5,1,2.81,174.13,45.67,0,15.77
02/01/14 12:00,12,5,1,2.81,174.53,53.64,0,14.07
02/01/14 13:00,13,5,1,2.5,162.74,58.66,0,9.9
02/01/14 14:00,14,5,1,2.5,165.97,57.99,0,7.47
02/01/14 15:00,15,5,1,2.5,171,50.15,0.07,17
02/01/14 16:00,16,5,1,2.45,170.8,53.64,0,11.39
02/01/14 17:00,17,5,1,1.87,183,44.47,0,19.4
02/01/14 18:00,18,5,1,1.87,190.05,36.86,0,26.26
02/01/14 19:00,19,5,1,2.81,194.48,43.59,0,19.47
02/01/14 20:00,20,5,1,2.5,195.59,43.87,0,17.19
02/01/14 21:00,21,5,1,2.81,229.35,32.78,0,24.2
02/01/14 22:00,22,5,1,2.5,217.16,24.88,0,29.02
02/01/14 23:00,23,5,1,2.5,223.91,31,0,21.28
03/01/14 00:00,0,6,1,2.5,218.87,35.06,0,17
03/01/14 03:00,3,6,1,2.5,208.19,43.56,0,11.29
03/01/14 04:00,4,6,1,2.71,199.32,46.35,0,8.39
03/01/14 05:00,5,6,1,2.81,192.07,49.7,0,7.17
03/01/14 06:00,6,6,1,2.81,176.14,53.36,0,6.76
03/01/14 07:00,7,6,1,2.81,159.72,56.71,0,7.38
03/01/14 08:00,8,6,1,2.5,163.95,53.18,0,10.54
03/01/14 09:00,9,6,1,2.5,161.53,49.26,0,11.95
03/01/14 10:00,10,6,1,2.5,166.37,44.08,0,14
03/01/14 11:00,11,6,1,2.81,178.26,39.76,0.41,17.98
03/01/14 12:00,12,6,1,3.44,178.97,43.33,0.76,15.95
03/01/14 13:00,13,6,1,4.37,170.2,49.91,0.33,12.37
03/01/14 14:00,14,6,1,4.69,164.66,53.81,0,12.33
03/01/14 15:00,15,6,1,4.37,161.03,55.04,0.29,13.95
03/01/14 16:00,16,6,1,4.06,158.31,54.93,0,11.73
03/01/14 17:00,17,6,1,3.44,141.08,59.15,0,11.39
03/01/14 18:00,18,6,1,2.5,134.32,70.32,0,10.69
03/01/14 19:00,19,6,1,2.19,160.12,60.99,0,18.15
03/01/14 20:00,20,6,1,2.19,147.12,68.51,0,9.9
03/01/14 21:00,21,6,1,1.87,149.34,75.21,0,8.19
03/01/14 22:00,22,6,1,1.87,159.52,76.52,0,8.67
03/01/14 23:00,23,6,1,1.87,168.79,79.38,0,7.8
04/01/14 00:00,0,7,1,1.67,165.26,74.93,0,6.38
04/01/14 02:00,2,7,1,1.61,153.77,72.62,0,6.01
04/01/14 03:00,3,7,1,1.56,159.42,63.51,0,5.87
04/01/14 04:00,4,7,1,1.56,193.68,55.5,0,9.19
04/01/14 05:00,5,7,1,2.19,163.35,55.89,0,8.68
04/01/14 06:00,6,7,1,1.87,155.69,52.34,0,9.26
04/01/14 07:00,7,7,1,2.08,159.01,53.87,0,7.51
04/01/14 08:00,8,7,1,2.19,156.19,52.08,0,8.42
04/01/14 09:00,9,7,1,2.19,161.03,46.7,0,12.76
04/01/14 10:00,10,7,1,2.19,168.18,50.71,0,10.61
04/01/14 11:00,11,7,1,2.19,181.38,49.7,0.13,11.45
04/01/14 12:00,12,7,1,2.5,163.45,50.49,0.52,12.06
04/01/14 13:00,13,7,1,2.81,177.35,49.89,0.88,13.03
04/01/14 14:00,14,7,1,3.13,184.91,48.78,0.67,14.24
04/01/14 19:00,19,7,1,2.5,192.47,42.64,0,13.05
04/01/14 20:00,20,7,1,2.81,209.1,41.93,0,13.33
04/01/14 21:00,21,7,1,2.5,206.68,40.86,0,12.41
04/01/14 22:00,22,7,1,2.55,213.13,38.08,0,13.02
04/01/14 23:00,23,7,1,2.71,221.09,32.58,0,13.76
05/01/14 00:00,0,1,1,3.75,226.53,33.49,0,15.81
05/01/14 02:00,2,1,1,3.13,209.9,53.44,0,10.5
05/01/14 03:00,3,1,1,2.81,186.12,63.44,0,5.79
05/01/14 04:00,4,1,1,2.5,181.28,61.32,0,4.62
05/01/14 05:00,5,1,1,2.19,181.99,53.7,0,5.19
05/01/14 06:00,6,1,1,1.56,207.18,31.56,0,19.64
05/01/14 07:00,7,1,1,1.56,224.61,27.84,0,29.3
05/01/14 08:00,8,1,1,1.25,214.03,28.24,0,23.73
05/01/14 09:00,9,1,1,1.87,194.18,37.33,0,12.79
05/01/14 10:00,10,1,1,2.81,218.26,37.58,0.28,14.48
05/01/14 11:00,11,1,1,3.75,220.58,41.06,1.56,16.04
05/01/14 12:00,12,1,1,5.62,240.84,47.11,2.12,14.06
05/01/14 13:00,13,1,1,5.62,233.78,51.04,2.06,12.49
05/01/14 14:00,14,1,1,5.31,220.78,52.38,1.44,11.24
05/01/14 15:00,15,1,1,5,284.17,46.72,0.87,14.06
05/01/14 16:00,16,1,1,5,248.19,44.14,0.58,16.27
05/01/14 17:00,17,1,1,4.06,221.69,47.02,0,11.61
05/01/14 18:00,18,1,1,3.44,210.71,44.66,0,13.75
05/01/14 19:00,19,1,1,3.44,235.09,44.04,0,14.85
05/01/14 20:00,20,1,1,3.13,243.15,42.12,0,15.47
05/01/14 21:00,21,1,1,3.13,239.32,42.24,0,14.26
05/01/14 22:00,22,1,1,3.13,240.33,44.37,0,12.66
05/01/14 23:00,23,1,1,3.13,239.53,47.85,0,9.72
06/01/14 00:00,0,2,1,3.13,217.39,51.87,0,7.36
