,POSIXtime,yr,mon,day,hr,COS.60,CO2.60,CO.60,H2O.60,COS.7,CO2.7,CO.7,H2O.7
1,1406849379,2014,8,1,0,NA,NA,NA,1.524796131,NA,NA,NA,1.519016883
2,1406852979,2014,8,1,1,NA,NA,NA,1.576904246,NA,NA,NA,1.58879659
3,1406856579,2014,8,1,2,NA,NA,NA,1.529242095,NA,NA,NA,1.502226705
4,1406860179,2014,8,1,3,NA,NA,NA,1.449086634,NA,NA,NA,1.449818598
5,1406863779,2014,8,1,4,NA,NA,NA,1.460829539,NA,NA,NA,1.483894111
6,1406867380,2014,8,1,5,NA,NA,NA,1.63740852,NA,NA,NA,1.579281935
7,1406869980,2014,8,1,6,NA,NA,NA,1.484739034,NA,NA,NA,1.569248148
8,1406874579,2014,8,1,7,NA,NA,NA,0.877192681,NA,NA,NA,1.534823657
9,1406878179,2014,8,1,8,472.3805272,402.003659,172.2820409,1.719624358,456.945107,399.5206101,170.720587,1.758382646
10,1406881780,2014,8,1,9,442.7910259,393.2439683,160.1149964,1.493036103,448.2819432,390.8734566,158.3323343,1.730955251
11,1406885233,2014,8,1,10,479.9805093,387.6041009,148.0619945,1.405164342,472.7016617,385.6952483,140.7271859,1.443145544
12,1406888979,2014,8,1,11,464.0994682,386.3952594,139.3187583,1.323203701,456.7055671,384.8663805,139.1620243,1.378388002
13,1406892579,2014,8,1,12,463.8299193,385.6865694,139.3669785,1.348616215,459.9199575,388.262152,149.1135973,1.536722203
14,1406896179,2014,8,1,13,476.1693339,393.5699909,162.0165423,1.660401411,478.6689416,394.3907483,165.7219725,1.751776925
15,1406899779,2014,8,1,14,477.6706168,396.4772197,170.381267,1.831353352,476.4844045,395.1027807,169.3928653,1.83933546
16,1406903379,2014,8,1,15,473.5135107,395.8680328,168.6929713,1.67725574,474.960641,401.0847758,182.0302875,1.815767992
17,1406906980,2014,8,1,16,489.4505436,398.8033117,176.1874621,1.732500601,487.0885313,394.0667781,164.5287569,1.719062197
18,1406910580,2014,8,1,17,486.0521695,391.3214089,152.5959729,1.57411419,481.055887,393.6004191,155.842696,1.707086517
19,1406914180,2014,8,1,18,461.1937532,392.3721522,162.1927405,1.760849735,466.1038211,397.2234532,163.0404698,1.80189956
20,1406917779,2014,8,1,19,471.7480951,391.7081084,165.8536074,1.828009749,478.3107485,407.1138571,159.8790562,1.838411318
21,1406921379,2014,8,1,20,479.3274498,393.5676241,172.7423933,1.830361941,518.7744709,419.2426389,172.2176968,1.841513619
22,1406924979,2014,8,1,21,475.2033781,390.581761,172.8419842,1.658712849,471.6099627,425.0603447,194.7062033,1.842853755
23,1406928579,2014,8,1,22,465.2647084,389.6548632,173.0787899,1.552476103,468.1282155,433.1269775,198.9211147,1.841321077
24,1406932179,2014,8,1,23,460.1397211,388.711696,164.9767543,1.519331299,461.0098505,445.3562394,205.1720601,1.7313375
25,1406935780,2014,8,2,0,448.6184603,388.5265849,165.7751958,1.523331285,452.3133321,455.0201565,214.4101444,1.569537772
26,1406939380,2014,8,2,1,460.5017491,390.477514,167.3842205,1.488571257,450.8397665,456.3396135,227.1228837,1.519380962
27,1406942980,2014,8,2,2,467.7136976,389.2981325,179.681607,1.454856075,507.9933686,467.7106127,203.1804111,1.639846444
28,1406946579,2014,8,2,3,468.8801975,393.7776866,189.0154408,1.434818506,461.6924655,511.046924,182.0475639,1.731607019
29,1406950179,2014,8,2,4,452.1914476,432.3813783,175.1011092,1.488822374,454.576183,475.8630593,184.5179163,1.831748421
30,1406953779,2014,8,2,5,462.4500621,470.0303297,178.6965581,1.59543926,446.215156,478.9087268,178.0653825,1.845724289
31,1406957379,2014,8,2,6,496.109866,463.9179975,175.900473,1.630811774,478.365965,465.3609643,174.7708467,1.790996872
32,1406960979,2014,8,2,7,496.1584016,437.4746509,167.4109526,1.64582317,490.3685859,429.8594529,167.373748,1.735316161
33,1406964580,2014,8,2,8,487.5187845,414.4534454,167.1820537,1.662660838,476.249474,405.811958,172.6301767,1.674112751
34,1406968180,2014,8,2,9,484.4383524,395.9164942,165.4474316,1.524879567,478.3505429,391.6369121,158.6487168,1.533973431
35,1406971780,2014,8,2,10,462.0743781,387.0495807,138.2041628,1.339306662,459.3220576,384.6339997,136.3912721,1.389004697
36,1406975379,2014,8,2,11,479.5386659,383.8976288,135.6994127,1.330883142,474.1347955,381.3466861,133.8982489,1.357154205
37,1406978979,2014,8,2,12,457.112073,382.8090235,133.9146415,1.257778687,452.8530218,381.0858233,134.9752361,1.332646653
38,1406982579,2014,8,2,13,471.8133141,382.5758214,135.3491808,1.294789651,463.6049973,380.4436314,135.4391601,1.368202981
39,1406986179,2014,8,2,14,468.0879022,381.4434836,135.2917239,1.328709791,461.3329277,379.889897,135.7766945,1.39534636
40,1406989779,2014,8,2,15,457.2180482,380.7459388,136.2584341,1.333147318,450.7426688,379.2286277,136.9682203,1.388009393
41,1406993379,2014,8,2,16,465.0866757,380.587489,141.5416665,1.392077402,460.6246031,379.1976539,142.5523501,1.471979038
42,1406996979,2014,8,2,17,480.2552881,385.4476039,142.7597625,1.701770698,480.6559907,389.252233,142.0466781,1.844592814
43,1407000579,2014,8,2,18,506.1566363,387.4247874,130.3231064,1.841230936,507.6330101,389.4020354,131.215251,1.850002688
44,1407004251,2014,8,2,19,497.5346813,388.0455397,138.4165501,1.839569053,495.2736959,402.0244828,140.0368813,1.850640701
45,1407007780,2014,8,2,20,493.6904741,388.580371,140.1977515,1.837640307,503.1532577,425.4140438,142.0218981,1.850842542
46,1407011379,2014,8,2,21,495.3954129,389.3619036,137.1891635,1.762013771,498.1679413,416.179109,152.4218461,1.848673107
47,1407014979,2014,8,2,22,478.7345663,389.3026319,134.6605974,1.659087933,485.7574617,426.4144856,136.3888437,1.692354069
48,1407018579,2014,8,2,23,482.9853452,401.2822568,176.065516,1.678455,490.6649762,439.6388811,152.3228768,1.691016757
49,1407022179,2014,8,3,0,477.600295,401.7437102,154.9394781,1.626724344,477.2869315,446.478595,165.6503719,1.664693347
50,1407025779,2014,8,3,1,485.1688192,406.2008218,153.3956656,1.655133366,483.7856461,457.7444824,161.2020323,1.707332856
51,1407029379,2014,8,3,2,480.1869582,410.9260987,153.4131227,1.685162318,471.7151004,449.6168544,152.4975279,1.728226841
