"date","number_items_sold","number_page_view","sales_conversion","total_orders","sales_euro","returned","delivered","percreturned","most_searched_term","total_num_term_searches","femalesales","malesales","sales_1945","sales_1965","sales_1985","sales_2005","sales_2017"
"2017-01-01","19","259","7.336","7","289.74","24","31","77.42","badpak","18","17","2","0","6","10","3","0"
"2017-01-02","32","444","7.207","17","607.24","31","48","64.58","bikini dames","19","30","2","0","2","15","15","0"
"2017-01-03","49","733","6.685","29","684.05","52","81","64.20","bikini dames","21","44","5","4","2","32","11","0"
"2017-01-04","50","566","8.834","27","719.99","40","67","59.70","bikini dames","18","46","4","0","5","38","7","0"
"2017-01-05","69","591","11.675","34","1097.26","61","95","64.21","badpak","14","65","4","1","17","32","19","0"
"2017-01-06","42","598","7.023","12","508.37","49","61","80.33","bikini dames","23","41","1","4","3","25","10","0"
"2017-01-07","29","445","6.517","19","504.61","32","51","62.75","bikini dames","14","29","0","0","2","15","12","0"
"2017-01-08","32","563","5.684","14","341.16","34","48","70.83","bikini dames","19","26","6","0","14","13","5","0"
"2017-01-09","86","797","10.790","43","1116.22","79","122","64.75","badmode dames","15","85","1","0","20","45","21","0"
"2017-01-10","36","470","7.660","15","415.82","31","46","67.39","badpak","13","34","2","6","16","9","5","0"
"2017-01-11","30","653","4.594","15","599.48","26","41","63.41","badpak","12","29","1","0","5","16","9","0"
"2017-01-12","65","591","10.998","27","835.03","48","75","64.00","bikini dames","13","51","14","1","9","49","6","0"
"2017-01-13","22","512","4.297","10","245.60","29","39","74.36","bikini","10","22","0","0","4","7","11","0"
"2017-01-14","33","439","7.517","16","503.28","21","37","56.76","bikini","20","31","2","0","11","20","2","0"
"2017-01-15","57","706","8.074","20","635.24","52","72","72.22","badpak","13","51","6","3","18","32","4","0"
"2017-01-16","40","506","7.905","21","464.58","34","55","61.82","bikini dames","15","24","16","0","14","22","4","0"
"2017-01-17","40","606","6.601","18","625.32","40","58","68.97","tankini","10","32","8","0","11","25","4","0"
"2017-01-18","71","691","10.275","20","716.27","67","87","77.01","bikini dames","14","66","5","2","8","37","24","0"
"2017-01-19","38","570","6.667","15","656.93","53","68","77.94","bikini dames","21","38","0","0","7","27","4","0"
"2017-01-20","42","451","9.313","14","354.48","38","52","73.08","badpak","12","39","3","0","13","14","15","0"
"2017-01-21","42","543","7.735","3","144.85","46","49","93.88","badpak","20","40","2","0","5","35","2","0"
"2017-01-22","26","537","4.842","8","282.70","29","37","78.38","bikini dames","25","23","3","0","13","6","7","0"
"2017-01-23","34","491","6.925","13","378.49","29","42","69.05","badpak","15","30","4","0","4","14","16","0"
"2017-01-24","76","751","10.120","43","1319.26","65","108","60.19","bikini dames","27","63","13","0","15","35","26","0"
"2017-01-25","62","649","9.553","29","882.87","51","80","63.75","badpak","15","60","2","0","7","40","15","0"
"2017-01-26","73","743","9.825","22","752.09","72","94","76.60","bikini dames","19","61","12","3","18","43","9","0"
"2017-01-27","73","655","11.145","27","785.45","66","93","70.97","bikini dames","17","73","0","0","25","36","12","0"
"2017-01-28","29","420","6.905","10","265.72","38","48","79.17","bikini dames","12","23","6","2","3","12","12","0"
"2017-01-29","39","925","4.216","18","601.45","36","54","66.67","bikini dames","19","33","6","6","22","4","7","0"
"2017-01-30","87","812","10.714","23","799.48","106","129","82.17","bikini dames","29","79","8","5","15","39","28","0"
"2017-01-31","41","651","6.298","23","678.08","40","63","63.49","bikini dames","17","41","0","0","12","25","4","0"
"2017-02-01","44","722","6.094","20","673.24","45","65","69.23","bikini dames","18","44","0","0","7","36","1","0"
"2017-02-02","41","632","6.487","22","794.49","31","53","58.49","bikini dames","28","36","5","0","8","26","7","0"
"2017-02-03","41","740","5.541","16","569.33","36","52","69.23","bikini dames","11","38","3","0","16","23","2","0"
"2017-02-04","25","501","4.990","13","376.44","20","33","60.61","bikini dames","19","25","0","0","7","13","5","0"
"2017-02-05","73","826","8.838","28","942.17","73","101","72.28","badpak","22","72","1","0","19","31","23","0"
"2017-02-06","67","711","9.423","24","885.95","67","91","73.63","bikini dames","25","59","8","0","14","42","11","0"
"2017-02-07","45","616","7.305","16","500.30","42","58","72.41","bikini dames","19","40","5","2","12","26","5","0"
"2017-02-08","65","866","7.506","27","1014.14","63","90","70.00","bikini dames","23","60","5","0","10","28","27","0"
"2017-02-09","42","679","6.186","26","845.31","57","83","68.67","bikinibroekje","18","40","2","0","8","29","5","0"
"2017-02-10","41","673","6.092","27","926.07","38","65","58.46","bikini","18","34","7","0","8","25","8","0"
"2017-02-11","28","623","4.494","17","605.94","25","42","59.52","badpak","20","24","4","1","5","21","1","0"
"2017-02-12","45","939","4.792","14","464.85","55","69","79.71","bikini dames","28","41","4","0","16","26","3","0"
"2017-02-13","41","636","6.447","19","606.89","31","50","62.00","bikini dames","25","37","4","0","9","21","11","0"
"2017-02-14","46","503","9.145","21","707.44","44","65","67.69","badpak","13","45","1","0","11","33","2","0"
"2017-02-15","53","712","7.444","25","818.08","54","79","68.35","badpak","18","43","10","1","11","35","6","0"
"2017-02-16","66","935","7.059","28","1021.25","62","90","68.89","bikini dames","17","55","11","0","16","41","9","0"
"2017-02-17","45","754","5.968","16","554.53","32","48","66.67","bikini dames","23","44","1","0","10","32","2","0"
"2017-02-18","69","714","9.664","31","1116.68","56","87","64.37","badpak","20","63","6","0","3","57","9","0"
"2017-02-19","94","1151","8.167","34","1021.91","77","111","69.37","bikini dames","23","93","1","1","14","50","29","0"
"2017-02-20","79","1143","6.912","34","1164.17","73","107","68.22","bikini","28","73","6","0","16","48","15","0"
"2017-02-21","64","1015","6.305","25","897.20","62","87","71.26","bikini dames","20","60","4","0","2","52","10","0"
"2017-02-22","60","1093","5.489","31","1020.87","64","95","67.37","badpak","19","59","1","2","4","35","19","0"
"2017-02-23","96","863","11.124","33","1137.65","82","115","71.30","bikini dames","28","87","9","0","12","58","26","0"
